"Setup","Samples","MeanDistance","Sensitivity","Specificty","Precision","HaplogrepFilter","HetFilter","Group","TP","TN","FP","FN"
"93.0","100000.0","4.54887","0.02152","1.0","1.0","0.8999999999999999","8","8","1076","50000","0","48924"
"94.0","100000.0","4.54887","0.01428","1.0","1.0","0.8999999999999999","9","8","714","50000","0","49286"
"95.0","100000.0","4.54887","0.00844","1.0","1.0","0.8999999999999999","10","8","422","50000","0","49578"
"96.0","100000.0","4.54887","0.00442","1.0","1.0","0.8999999999999999","11","8","221","50000","0","49779"
"97.0","100000.0","4.54887","0.00182","1.0","1.0","0.8999999999999999","12","8","91","50000","0","49909"
"98.0","100000.0","4.54887","7.2E-4","1.0","1.0","0.8999999999999999","13","8","36","50000","0","49964"
"99.0","100000.0","4.54887","1.4E-4","1.0","1.0","0.8999999999999999","14","8","7","50000","0","49993"
"100.0","100000.0","4.54887","0.0","1.0","0.0","0.8999999999999999","15","8","0","50000","0","50000"
"101.0","100000.0","4.54887","0.0","1.0","0.0","0.8999999999999999","16","8","0","50000","0","50000"
"102.0","100000.0","4.54887","0.0","1.0","0.0","0.8999999999999999","17","8","0","50000","0","50000"
"103.0","100000.0","4.54887","0.0","1.0","0.0","0.8999999999999999","18","8","0","50000","0","50000"
"104.0","100000.0","4.54887","0.0","1.0","0.0","0.8999999999999999","19","8","0","50000","0","50000"
"105.0","100000.0","4.54887","0.0","1.0","0.0","0.8999999999999999","20","8","0","50000","0","50000"
"106.0","100000.0","4.54887","2.0E-4","0.99976","0.45454545454545453","0.9999999999999999","0","8","10","49988","12","49990"
"107.0","100000.0","4.54887","2.0E-4","0.99976","0.45454545454545453","0.9999999999999999","1","8","10","49988","12","49990"
"108.0","100000.0","4.54887","2.0E-4","0.99982","0.5263157894736842","0.9999999999999999","2","8","10","49991","9","49990"
"109.0","100000.0","4.54887","1.8E-4","0.99986","0.5625","0.9999999999999999","3","8","9","49993","7","49991"
"110.0","100000.0","4.54887","1.8E-4","0.99988","0.6","0.9999999999999999","4","8","9","49994","6","49991"
"111.0","100000.0","4.54887","1.6E-4","0.99988","0.5714285714285714","0.9999999999999999","5","8","8","49994","6","49992"
"112.0","100000.0","4.54887","1.0E-4","0.9999","0.5","0.9999999999999999","6","8","5","49995","5","49995"
"113.0","100000.0","4.54887","4.0E-5","0.99998","0.6666666666666666","0.9999999999999999","7","8","2","49999","1","49998"
"114.0","100000.0","4.54887","2.0E-5","1.0","1.0","0.9999999999999999","8","8","1","50000","0","49999"
"115.0","100000.0","4.54887","2.0E-5","1.0","1.0","0.9999999999999999","9","8","1","50000","0","49999"
"116.0","100000.0","4.54887","0.0","1.0","0.0","0.9999999999999999","10","8","0","50000","0","50000"
"117.0","100000.0","4.54887","0.0","1.0","0.0","0.9999999999999999","11","8","0","50000","0","50000"
